state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
CT,128.60943415950885,414.20503333014113,336-7143,no,no,24.163229860768155,264.73430020538143,111.86547621694925,45.96616269395011,198.46208559901498,98.84311621126855,18.76784714916393,248.4361770050464,88.5768175029309,10.18653139897339,7.807892238596182,5.013591248079867,0.4913273813707266,1.5685724229466413,False
FL,104.92003178751901,415.11241130617833,413-2241,no,no,27.623518196958717,161.95255407145638,126.17237901557033,26.782537222883658,197.84996178867453,105.78435408227304,18.474289802117774,255.16259141125641,104.21002787850324,8.488887144436081,16.753234742534207,2.2964774354722257,2.197966469180958,4.646873179786255,False
KY,138.50090239161293,414.4372600161886,417-2716,no,no,-0.2251398139359816,245.19824696799822,117.45591891590823,41.91572356933569,117.88359870280185,106.05697616845009,9.872310909206954,161.03839041123177,104.25978624422416,5.2285479098941074,10.379115903754437,3.785736282839979,0.1081442805574917,0.7969836744125456,False
MI,85.88112943278243,407.50635240897685,380-9879,no,no,-1.8218144283999131,296.4554587683326,66.90825153948356,48.92608018774638,63.68241398509236,88.89079601007938,1.8158406227279795,194.87714477626562,88.37062140543262,6.928612726863034,5.828859795860714,4.261960950864253,1.3320743266254211,4.716542776299336,False
SC,71.09792962269233,415.9759827416092,367-2598,no,yes,-0.34437032259024847,166.1294036752249,110.61275887814173,29.114396711407302,148.1839359871696,124.18681927025007,13.532726063607827,186.80520509841745,121.91566396992286,10.37482564712607,8.300463653277534,3.507273236221898,1.8806800169159383,5.790951921072784,False
FL,115.39564098627537,507.8420856259027,333-7749,no,no,1.0295684739248194,225.05830659075824,94.3836168433469,35.63025972685194,219.40018176307518,100.82257393857593,15.46516789134056,201.20726853848086,118.08164281413957,10.851631089218403,3.78365501740763,7.625258071607341,0.6431062690326053,1.5393601013024423,False
NH,121.25568080633457,506.7439155720976,359-5731,no,no,21.632557344469436,218.33120029668518,89.26386082077919,36.37142310994449,347.9983649764792,109.29581962628357,32.05048920637116,211.1692881570288,118.2210378593335,13.959002852704455,8.16523258720877,7.302712342389055,2.588525982644304,-0.6878106361515415,False
MA,146.36751481531283,414.3036604183267,409-8796,no,no,-3.292467377939961,159.93466762415497,77.6138364324017,25.40421370268119,105.17354157408201,94.20630907311565,7.294484068969963,211.31161729733785,95.39294763088023,8.506247317996564,7.406686565642664,4.150007488292445,0.6056197881558358,-0.47931535334679753,False
FL,116.96639768499142,409.5282288110036,354-2762,no,no,3.98548560167064,181.34815328362617,96.02163933631213,24.855264714666852,353.06248103465015,78.43192146057616,31.159920669311024,214.95622929217126,87.94490587787952,8.621868123187246,4.250882402278452,7.573039751155836,1.6690697218920545,-1.1812722737049732,False
HI,139.29391214485284,418.37510607897326,388-8583,no,no,35.71514664058313,255.21999646410777,83.56680513614509,43.266462746933186,221.744153083989,109.3819399651715,17.557662376312276,327.8538152047398,100.38261423240183,14.959745858321245,8.59613077183428,0.7931924694925279,2.0473354622008113,5.727306016246009,False
MS,66.75879594972565,416.56425647818946,397-3939,no,yes,-0.27470597383904555,130.63937303324542,137.7651413761815,20.152267151074142,226.22178507186143,84.42385853475822,18.43592867575355,207.3243447651889,113.80086323322345,8.689466738414563,13.21037630320341,7.756452889250005,3.3663003735253554,1.9924409936345682,True
SD,75.5555838708579,412.0634724802623,345-1998,no,yes,-0.7955908116511453,189.43161442986553,124.02935790398709,31.489220232218432,161.26291080617673,146.7285865489237,12.288060366811578,191.0600375107261,97.180317407063,7.654873920014532,8.955572356375722,5.433423719465641,3.189274626013518,-2.994487996831574,False
UT,168.13206139512243,407.53526552124646,372-5384,no,no,1.096175408164284,128.41349998633635,93.48227307473182,21.903445600963707,106.40606031984933,67.95083812320848,10.352163053921403,137.72845418133693,126.92137022717822,6.458849697984568,10.398136563992525,2.937357594893503,0.330933709697975,-4.540742836873187,False
NV,97.25448241393606,510.5132687621631,393-6733,no,no,3.5455798461820875,157.40078880009145,88.00259241306222,30.15586388596317,245.0445151486912,75.244797383443,19.807306038560867,192.26436372899764,113.63614457489761,10.057217235674518,13.511356134820367,3.426340878841151,4.226430943467459,0.9274713233244922,False
SD,62.935018684504094,415.3551822338472,396-3068,no,no,1.1598676834585686,122.19041395526281,72.39749187230893,21.129417994315016,306.9636910235114,74.97383715806298,27.647064176382298,201.8263934599865,98.17111007556457,4.915717961186066,10.213934064622011,5.695167441565113,4.068505049489337,4.245694647535414,False
WA,159.28141507423354,416.07860910588573,394-9942,yes,yes,-3.036730295079982,331.27227358829646,66.94920519349783,57.25822526596708,323.1621442547598,94.60178374952058,25.819619282543822,158.1266565360838,130.148213888039,6.085598365711414,4.210016601024475,9.586701079232734,2.2972525188519124,6.17449659319646,True
IA,85.737501568165,406.16590210707847,353-3372,no,no,24.23175314598294,194.9863032499014,137.41668058723593,34.38122767043849,281.81912167674017,90.14349486613577,23.41716349498929,93.21690265817871,74.99961585726427,1.214414052531278,14.83607430373249,3.8283606809488386,3.996462665214425,-1.1403449279830844,False
VA,91.082234798342,510.1298861751015,386-6114,no,no,-0.797929550653833,191.07945235839725,109.70358263932472,34.16361702448226,219.68449840799,112.534553480174,18.621129879918485,131.2575002427727,119.91361660270378,5.52233781047665,6.801409947081171,-0.5875254931484388,2.9131279252991824,5.342951208021047,False
MO,77.75690060261455,510.84064565955225,357-3577,no,no,32.46353360093347,191.50817791978744,67.90535117012055,33.158558907709036,210.67792945626735,65.04030012838284,18.39764321183,165.58314567971348,108.72772335615765,8.325260005290382,10.625093457088656,8.425002340210208,1.8686678323399968,0.8726178503341113,False
RI,72.9001481780275,416.65134190660734,348-8022,no,yes,-3.443902539093201,222.06808614728405,88.52813670121904,38.713426048848234,157.0453966876551,85.8675182878685,11.711591330893766,193.26659448499842,72.527102133475,10.913883654561328,10.707540666230187,3.3003950797026502,4.396736241259018,0.029170750931355904,False
VA,146.63027527290947,413.3885636667744,387-1116,yes,yes,1.6386818403488812,154.70410473612995,114.70512616849656,27.792493837126287,241.2916440740761,93.9636071248071,21.777615298602715,208.26971797798603,130.2892189066557,8.532508784229805,8.952301092032812,4.069185847670558,5.149133904637692,0.34567721427031306,False
FL,75.63814091119212,407.3096862655142,331-8484,no,no,-2.172641115762957,61.91152673659112,85.56934954708244,5.756731158337791,169.3352960222103,123.0703127641529,13.897321588114531,207.0923695106095,64.25846991536731,9.642545120378069,2.1356043753011593,6.198181250828579,0.5492383262837671,7.835144014290733,True
WA,132.44508267734807,409.5923646398533,331-3174,no,no,2.986603124251511,183.83591821008554,109.12179837771608,35.288103166557654,75.24724296312735,103.42606832659385,7.287801474611017,183.86144057278165,76.96785357574814,4.81575051860483,5.385746870419127,22.367476055363653,1.6518106430343362,0.10221641852157211,False
VT,110.6909410358624,413.75707606484445,373-4264,no,no,3.6412651944114414,110.38260325998233,101.07757155909229,21.949459689426796,137.58626647524906,104.88368806053137,11.637543460574479,191.30266016221785,104.97259980865206,6.809068306445803,6.748105702321805,4.514542474632487,3.341010198908421,-0.21652324196097084,False
AR,131.14334435567378,508.9511702140579,369-8005,no,no,-0.4965070652643547,80.00823283239427,85.5223025276117,14.22427150371858,252.31272557110026,69.98928321960261,22.012907800849796,233.04533243385598,109.63028071638101,11.084283938890122,11.200048057589033,0.06353462130766352,1.671984316570854,0.8482831725084506,False
OK,173.29573289902353,412.9608309836651,357-5784,no,yes,0.8779452808363696,126.7971315615148,73.58251659047869,18.303987099182464,276.15536036937334,113.71616547618919,22.727316504039702,251.1528650042315,113.21584320952311,8.56197113109475,15.27040262654867,6.700154050766642,2.7515236829627208,3.8162832511096054,False
MT,58.0646183711067,408.3312243004653,341-4103,no,no,36.5361055558316,211.92148503675836,115.37141607509527,38.63070086498589,191.87826305837885,112.5130478413152,14.660803820251255,183.37366445115512,114.9098854833589,10.69402413256181,11.820569777692143,3.925380427601019,3.414343898784986,-0.3805517415047037,False
WY,54.730888128728154,407.8881091359095,372-9091,no,no,1.2473526529582288,133.7158072739571,72.5071045201638,21.442247001870577,153.91170867482506,97.69580167826143,14.073716468877839,101.4565375422881,64.96721872048003,5.637032815677738,13.914401130424622,1.980229781678351,3.109064941666856,5.043088952070331,False
MT,20.825465223191976,410.48157224484476,373-2339,no,no,-0.9963848468687401,186.81700472816075,113.44398457836905,33.36768203314987,260.46416002130485,84.56759042364394,20.96253232840149,185.69453067726286,99.03522290872914,6.360836852245097,2.059721750308234,8.17736549263974,4.143492896926247,-4.5782899681468665,False
AK,49.861642006015764,510.43101593860354,393-5802,no,yes,-2.174470643176707,117.8727482463082,113.59111376721468,17.71418879642907,216.18102478774856,112.83735339581418,21.197572899492222,182.6774893325189,90.07753875321343,5.075672275166044,11.788388633091744,1.589915846155737,2.0675770163873284,1.7141461554923145,False
MI,146.2832952017409,413.1433517384219,374-6525,no,no,-0.5786699765059684,85.83215215267809,95.32295886062477,18.872813797946243,134.97762029317133,65.39172842143834,11.755313404423426,249.74498406950494,149.4031638309153,9.83140543460491,12.042943754921419,4.2040841060406215,2.19176893461725,3.568697573247639,False
NM,74.18716996723077,510.97137791838105,340-7062,no,yes,-0.9314960168107259,226.74120391270972,105.34800997808192,35.555566475782754,201.06543021177313,104.97310038752673,14.382737444410337,245.7543615790118,96.21656784925077,9.281359937174008,10.551761298497864,5.980647754172099,2.7704285027531226,-1.8976331817294039,False
WI,170.97551454185694,405.43629750454267,419-4894,no,yes,-0.6503188060075087,213.19903398013153,118.9388851921537,36.177972140633,34.14366954700105,115.02743443376988,1.4790680931652966,292.6194591371816,77.47574668495729,10.766004594571259,8.029036087141227,10.681386534768414,4.270860630624309,0.03347882933533208,False
NE,10.372454543504244,408.06001307706185,399-7029,no,yes,1.899359805632718,250.70196457189132,118.19050479489492,38.18562557097702,255.1034182107449,119.98334886061369,19.451390920032818,278.9773352539054,89.52195464630235,9.796379385565618,11.249901917759065,2.8239105801918885,3.8306342000252975,2.996256857828322,True
MN,58.23195884515099,407.433673342227,378-6924,yes,yes,23.429384814728536,180.97542807259032,95.53918873281343,29.977555095607354,192.37120872146872,71.54019279672171,18.72583756076328,211.6584789748791,112.87537157555124,9.149199795580163,9.705383760318561,4.768621613900414,3.31782547468389,2.3489082510495316,False
CT,74.25794458544178,415.6062037699007,411-8140,no,no,40.47004599954775,218.5042823451062,80.19298296511566,36.549429589723445,216.5680607125356,98.60912447262083,20.017081185717252,153.81371422338387,73.36777215909684,8.344521580057735,15.860959960579475,7.2523812700545225,2.8636878910123515,5.7195390882651695,False
TX,35.77210508469025,408.2493945553027,363-4967,no,no,27.34988073434929,143.06115251313042,130.76892576963968,27.144366787811933,166.34279351259394,80.30925568821732,13.687913407993394,133.22288287345114,108.63408509958356,4.397835534580321,13.998516199569927,7.828383518357691,6.1909868311251754,-1.3859789504487685,False
CT,76.31968704607495,414.4896716499571,404-9348,no,no,3.230860546357191,128.69889400785695,59.644624763809325,21.389241136816267,223.56564439861054,116.33535009986804,19.590147406800607,230.90016377979063,107.65552080904389,11.139767055637195,9.897336696733529,5.214590738226577,-0.6106963498258762,1.4021336821790327,False
MI,134.35103756861753,411.9274553719115,363-1413,no,no,30.966978756186613,202.49269632833682,104.31553317439456,36.93724716569265,188.1668450290985,95.32236213307449,15.774641114223568,103.27835398981395,107.745966807926,3.9245146653097196,9.505627373134466,5.458769358893258,1.2782870082221094,3.666537959060475,False
AK,150.3011855756494,405.0455840730779,384-2908,yes,no,-0.002026465073231327,138.4513461267662,96.95011209446189,21.82175886482266,274.0538638333202,92.77594705141526,24.820804101369436,183.48577616406274,104.8800100319976,9.694633383162046,10.503402115077389,9.47812197850403,3.076735165026062,-2.4144153362890917,False
IN,99.48650834240688,406.83222612181555,327-6989,no,no,-0.9803922269560396,126.48732169528971,103.8240526665277,20.90607679391051,164.33567658740316,87.17392540699683,15.219663285647323,184.07090103321542,136.83986859058408,6.8770448206017045,10.653547751550617,4.381758652630759,1.1457636593564053,3.3145208827750605,False
FL,136.0863085366104,407.9834402321408,390-3401,no,yes,40.31254265692429,175.60530981111404,86.08102342253258,28.906175804158988,202.2206050051412,106.56339666229097,18.729951408445192,124.32832661299048,80.1012215419096,6.061982934981521,13.100223831288194,16.25986466508072,3.3206001834129997,0.2774179260987418,True
NH,32.66898058542261,508.78350410560176,402-3370,no,no,1.6027144727110976,127.87931814593982,84.46643081303891,22.211176511265833,281.7526018335667,98.11962357238235,23.606308039640904,314.7387468958576,78.28106339364267,14.260262616692781,8.696203493573275,3.346544879640472,0.7366804006794345,3.490621275409463,False
MI,160.46432264613344,416.25042386115894,372-2296,no,no,2.9996535944576213,86.8086170036932,73.16688424259647,15.326748852814113,167.9092472397105,111.14282343336849,12.786880390595046,179.60746924804556,92.92441689565729,10.754638877948144,6.040901841700469,4.1113054634167,2.0636864505474284,1.8568662269001308,False
OK,64.23337161828145,509.4415581615766,354-6183,no,no,2.381049409911284,158.28254443090802,68.59122132544564,27.624450309846722,228.0395306965046,118.87805855258812,20.52012617004841,264.6888393698995,85.3478410050978,13.057486377867056,4.793395311963227,6.331319505548105,1.876154507676064,3.500874703689422,False
OR,59.437377193458026,406.069974550441,410-7108,yes,no,27.190287335316306,120.18725388686717,99.12874032483884,21.083661206579478,214.6395327343742,88.66275499566957,21.2126806974284,165.80460201879197,117.72658809762316,7.8520142755139375,7.860276582250524,6.498584495487034,1.2288996787906488,2.1606760362710014,False
OH,66.74285755589638,414.4438074140242,420-3346,no,no,0.3685104448091067,208.03496191599515,118.68259966764853,37.24262965322623,162.52168010265845,120.18975761577276,16.032020877866874,136.2071875437578,116.35412058574803,3.120223437339084,10.674115967860308,5.303623793696113,1.8020651416791793,6.419437458846906,False
VA,142.44719109754936,408.4517196726331,366-4426,no,no,-1.5641557473367242,189.10635613577634,138.25847423578244,29.994272142613724,137.0591394753594,73.20829312762278,14.603317407760306,244.4748905614667,126.9352033487316,9.849503331361449,9.044698562077482,7.280756754797849,1.078163411233109,3.493217805830743,False
MS,120.35782712614379,415.6497694376492,336-5920,yes,no,-1.9831006251493897,155.42281121650186,114.39269792812412,27.82759733376247,231.1947095383234,115.27834589842763,19.98406369774797,139.48686178547686,91.05452697204336,4.839203824148036,8.59791207230855,1.9138195134488214,4.587735108917274,5.555394955725125,True
