state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
CT,128.9141512392633,413.80754999521173,336-7143,no,no,23.74484479115223,264.55145030807216,112.79821432542388,46.41424404092517,198.99312839852246,98.76467431690283,19.761770723745894,250.3042655075696,87.36522625439635,9.774797098460084,6.711838357894272,6.020386872119801,-0.6130089279439099,1.852858634419962,False
FL,103.88004768127851,415.16861695926747,413-2241,no,no,28.435277295438077,162.12883110718454,127.75856852335549,26.43880583432549,199.02494268301183,107.17653112340956,19.401434703176662,255.5438871168846,104.81504181775486,7.008330716654121,18.27985211380131,1.944716153208339,1.4469497037714376,6.470309769679383,False
KY,139.25135358741937,414.1558900242829,417-2716,no,no,-0.3377097209039724,246.09737045199734,119.18387837386233,42.18358535400353,116.22539805420277,104.08546425267514,9.658466363810431,160.25758561684765,104.38967936633624,4.182821864841162,9.468673855631657,3.178604424259968,-1.4827835791637627,1.1954755116188185,False
MI,86.82169414917364,407.25952861346525,380-9879,no,no,-2.73272164259987,294.98318815249894,64.86237730922532,47.939120281619566,64.57362097763854,89.33619401511909,0.09376093409196962,193.8657171643984,88.05593210814892,5.962919090294552,5.443289693791071,2.89294142629638,1.108111489938132,6.074814164449004,False
SC,69.14689443403849,416.4639741124138,367-2598,no,yes,-0.5165554838853728,165.84410551283733,109.4191383172126,29.501595067110955,148.12590398075443,125.2802289053751,13.994089095411741,186.75780764762615,122.37349595488429,11.357238470689104,7.400695479916302,3.760909854332847,1.4560200253739073,7.186427881609175,False
FL,114.09346147941305,506.7631284388541,333-7749,no,no,1.544352710887229,225.88745988613738,92.57542526502034,34.45538959027792,218.8002726446128,100.7338609078639,13.822751837010838,199.8609028077213,118.12246422120936,11.687446633827603,2.5254825261114453,8.437887107411012,0.11465940354890791,2.3090401519536634,False
NH,121.38352120950185,505.11587335814636,359-5731,no,no,20.448836016704156,218.39680044502776,89.89579123116877,36.01213466491672,347.7475474647188,109.94372943942537,33.26573380955674,210.4539322355432,118.33155678900027,16.153504279056683,8.497848880813157,7.454068513583583,2.867788973966456,-2.5317159542273124,False
MA,146.05127222296926,413.95549062748995,409-8796,no,no,-4.938701066909942,161.40200143623244,76.92075464860254,24.761320554021783,106.210312361123,94.30946360967347,6.561726103454945,211.06742594600675,95.08942144632034,7.994370976994846,7.560029848463995,3.225011232438667,-0.0515703177662461,-0.7189730300201963,False
FL,116.94959652748713,410.29234321650534,354-2762,no,no,5.978228402505961,179.77222992543923,95.53245900446821,21.597897072000276,353.79372155197524,77.64788219086425,31.794881003966537,214.53434393825688,86.91735881681927,8.07780218478087,2.026323603417678,9.359559626733752,1.3286045828380815,-2.27190841055746,False
HI,138.44086821727927,420.0626591184599,388-8583,no,no,35.07271996087469,253.52999469616162,83.35020770421764,42.91969412039978,221.6162296259835,108.57290994775724,16.901493564468417,328.58072280710974,102.07392134860275,15.094618787481869,7.29419615775142,-1.3102112957612082,1.5610031933012172,8.590959024369013,False
MS,67.63819392458849,417.3463847172842,397-3939,no,yes,-0.4120589607585683,131.40905954986815,138.14771206427224,19.253400726611215,225.08267760779216,85.13578780213733,17.943893013630326,206.58651714778335,115.20129484983516,8.334200107621845,13.465564454805115,8.634679333875008,3.334450560288033,0.988661490451852,True
SD,76.33337580628684,410.59520872039343,345-1998,no,yes,-1.193386217476718,190.2974216447983,122.54403685598064,31.27883034832765,160.1943662092651,146.09287982338554,11.487090550217369,188.59005626608914,98.7704761105945,7.0723108800217975,8.883358534563582,5.650135579198461,3.553911939020277,-4.4917319952473616,False
UT,168.19809209268365,407.30289828186966,372-5384,no,no,1.644263112246426,128.2202499795045,92.22340961209774,21.90516840144556,107.159090479774,66.42625718481273,11.068244580882105,136.0426812720054,126.38205534076734,6.513274546976852,9.997204845988788,3.406036392340255,-1.0135994354530378,-7.31111425530978,False
NV,98.3817236209041,510.76990314324456,393-6733,no,no,5.318369769273131,157.80118320013716,88.00388861959333,31.923795828944755,243.7667727230368,75.3671960751645,19.1859590578413,192.24654559349645,112.95421686234643,10.760825853511777,14.117034202230553,2.639511318261727,4.67964641520119,-0.10879301501326166,False
SD,63.40252802675614,415.53277335077075,396-3068,no,no,1.739801525187853,122.93562093289422,73.5962378084634,21.434126991472525,306.84553653526706,74.46075573709446,28.415596264573445,201.23959018997974,97.75666511334686,2.8035769417790988,8.770901096933017,5.5427511623476695,4.332757574234005,4.368541971303121,False
WA,158.4221226113503,416.6179136588286,394-9942,yes,yes,-4.555095442619973,330.45841038244475,66.92380779024674,57.59233789895062,325.8432163821397,93.40267562428087,25.22442892381573,156.8899848041257,131.2223208320585,5.513397548567122,3.615024901536713,9.8800516188491,2.7158787782778684,7.261744889794691,True
IA,86.1062523522475,405.2488531606177,353-3372,no,no,22.84762971897441,194.27945487485212,136.6250208808539,34.87684150565774,282.2786825151103,90.21524229920367,23.185745242483932,95.17535398726807,74.99942378589641,-0.18837892120308286,15.354111455598733,3.7425410214232584,4.129693997821638,-2.2105173919746264,False
VA,90.123352197513,510.1948292626522,386-6114,no,no,-1.1968943259807494,191.2691785375959,107.55537395898709,35.03542553672338,220.426747611985,113.30183022026098,18.65669481987773,132.08625036415907,119.37042490405567,5.368506715714975,6.152114920621758,-2.3812882397226582,3.2746918879487734,6.514426812031569,False
MO,78.63535090392182,511.2609684893284,357-3577,no,no,32.1953004014002,192.41226687968114,68.85802675518083,33.612838361563554,209.61689418440102,65.06045019257425,18.551464817745,165.52471851957023,109.09158503423647,8.757890007935572,10.937640185632985,10.137503510315312,1.453001748509995,0.808926775501167,False
RI,72.85022226704125,417.477012859911,348-8022,no,yes,-5.165853808639802,220.90212922092604,87.79220505182856,38.995139073272355,155.81809503148267,84.80127743180276,10.787386996340647,193.4998917274976,71.79065320021249,12.030825481841994,9.561310999345281,3.9505926195539756,4.840104361888526,-0.45624387360296614,False
VA,146.44541290936422,412.5828455001616,387-1116,yes,yes,2.458022760523322,154.50615710419493,113.55768925274484,28.50374075568943,242.08746611111414,94.44541068721065,22.481422947904072,208.00457696697907,128.93382835998355,8.098763176344706,8.128451638049219,4.103778771505836,6.293700856956539,0.5185158214054696,False
FL,74.95721136678817,406.9645293982713,331-8484,no,no,-3.2589616736444356,61.66729010488668,83.85402432062365,3.330096737506687,169.05294403331544,124.10546914622937,13.625982382171797,205.83855426591427,64.38770487305096,9.748817680567102,0.3534065629517391,6.297271876242869,0.05385748942565072,9.252716021436099,True
WA,133.6676240160221,406.88854695978,331-3174,no,no,4.4799046863772665,184.2538773151283,107.6826975665741,37.37715474983648,76.42086444469103,105.63910248989076,7.831702211916526,184.89216085917246,76.4517803636222,3.133625777907244,3.328620305628691,24.05121408304548,1.1927159645515046,0.15332462778235817,False
VT,110.5364115537936,413.1356140972667,373-4264,no,no,5.461897791617162,110.3739048899735,100.11635733863844,23.539189534140196,137.72939971287357,106.32553209079705,11.62131519086172,192.1539902433268,104.95889971297808,5.948602459668705,6.272158553482708,3.771813711948731,3.971515298362631,-1.3247848629414563,False
AR,130.7150165335107,508.4267553210869,369-8005,no,no,-0.744760597896532,79.46234924859142,85.28345379141754,14.44140725557787,255.86908835665037,68.98392482940392,22.59936170127469,231.06799865078398,106.9454210745715,11.291425908335185,11.650072086383549,-0.9046980680385048,1.117976474856281,1.272424758762676,False
OK,172.94359934853532,411.9412464754977,357-5784,no,yes,1.3169179212545543,128.0456973422722,72.37377488571803,16.8909806487737,275.68304055405997,114.57424821428378,22.315974756059553,251.37929750634726,112.32376481428467,7.202956696642126,15.155603939823004,7.550231076149963,2.0322855244440814,4.224424876664408,False
MT,58.59692755666005,408.49683645069797,341-4103,no,no,35.304158333747395,211.38222755513755,115.55712411264291,39.841051297478835,192.26739458756828,112.7695717619728,13.871205730376884,183.71049667673267,114.86482822503835,11.931036198842715,12.980854666538212,4.388070641401529,3.8365158481774797,-0.5708276122570556,False
WY,55.09633219309224,407.8321637038642,372-9091,no,no,1.8710289794373431,133.42371091093565,72.2606567802457,20.748370502805866,153.11756301223758,96.54370251739216,14.500574703316758,101.13480631343216,63.45082808072004,6.160549223516607,13.521601695636933,0.9703446725175264,2.6785974125002845,6.064633428105497,False
MT,21.238197834787965,408.2223583672672,373-2339,no,no,-1.4945772703031102,185.22550709224112,115.66597686755358,33.9015230497248,261.5962400319573,84.85138563546592,20.468798492602236,187.7917960158943,97.55283436309372,5.456255278367645,-0.06041737453764906,9.266048238959609,5.36523934538937,-6.8674349522203,False
AK,50.29246300902365,510.64652390790525,393-5802,no,yes,-3.2617059647650604,117.15912236946231,111.88667065082201,16.4312831946436,216.72153718162286,114.75603009372128,22.65635934923833,184.66623399877832,90.11630812982015,3.593508412749066,12.132582949637618,1.8848737692336055,1.6013655245809923,2.0712192332384713,False
MI,148.42494280261138,412.2150276076329,374-6525,no,no,-0.8680049647589526,86.34822822901715,95.48443829093715,21.099220696919367,134.116430439757,66.58759263215751,11.822970106635138,249.36747610425738,150.10474574637294,9.112108151907364,10.964415632382128,3.306126159060932,1.3726534019258745,4.353046359871458,False
NM,73.78075495084616,511.45706687757155,340-7062,no,yes,-1.397244025216089,227.06180586906459,105.52201496712287,34.11334971367414,200.84814531765971,103.95965058129009,13.009106166615506,245.5315423685177,95.32485177387615,8.382039905761012,10.677641947746796,6.470971631258149,2.765642754129684,-3.346449772594106,False
WI,170.4632718127854,404.154446256814,419-4894,no,yes,-0.975478209011263,213.79855097019728,117.90832778823055,36.2469582109495,35.61550432050158,115.04115165065481,0.893602139747945,292.2791887057724,77.21362002743592,9.549006891856887,5.743554130711841,11.022079802152621,4.7062909459364635,-1.4497817559970017,False
NE,9.558681815256367,408.09001961559284,399-7029,no,yes,2.8490397084490766,251.252946857837,118.28575719234239,36.063438356465525,256.4551273161174,120.47502329092055,18.452086380049227,278.3660028808581,89.28293196945353,8.389569078348426,10.974852876638598,2.735865870287833,4.150951300037946,3.9943852867424825,True
MN,58.847938267726484,407.15051001334047,378-6924,yes,yes,22.644077222092804,183.06314210888547,96.30878309922015,29.93633264341103,191.05681308220306,69.81028919508256,19.798756341144923,210.73771846231867,111.31305736332686,8.918799693370246,10.408075640477843,5.15293242085062,3.856738212025835,3.5233623765742976,False
CT,75.38691687816268,415.909305654851,411-8140,no,no,42.205068999321625,217.75642351765927,80.2894744476735,36.12414438458517,216.20209106880338,96.91368670893124,20.790621778575876,154.32057133507578,74.55165823864526,9.076782370086603,16.441439940869213,7.878571905081785,2.310531836518527,7.079308632397755,False
TX,35.65815762703537,408.37409183295404,363-4967,no,no,26.02482110152394,141.44172876969566,132.15338865445952,28.2815501817179,168.2641902688909,80.46388353232598,13.62687011199009,135.1843243101767,108.45112764937534,3.686753301870481,13.747774299354889,8.742575277536536,7.326480246687764,-2.078968425673153,False
CT,75.47953056911241,414.23450747493564,404-9348,no,no,4.8462908195357866,127.64834101178543,57.466937145713985,20.963861705224403,223.4984665979158,116.50302514980206,19.88022111020091,232.45024566968596,107.48328121356583,11.584650583455792,9.846005045100293,5.321886107339866,-2.266044524738814,1.603200523268549,False
MI,133.5265563529263,410.39118305786724,363-1413,no,no,29.95046813427992,201.78904449250524,103.47329976159183,38.07587074853899,188.45026754364778,93.48354319961174,15.686961671335354,104.06753098472092,108.118950211889,3.596771997964579,9.008441059701699,5.188154038339888,0.49743051233316393,3.9998069385907122,False
AK,150.9517783634741,403.5683761096169,384-2908,yes,no,-0.0030396976098469907,137.47701919014926,98.42516814169284,20.797638297233988,275.18079574998023,93.16392057712288,25.681206152054155,181.0786642460941,103.32001504799639,10.306950074743067,10.205103172616084,9.717182967756045,3.115102747539093,-4.121623004433637,False
IN,100.22976251361032,406.2483391827233,327-6989,no,no,-1.4705883404340594,126.58098254293456,104.73607899979154,20.624115190865766,163.10351488110476,88.26088811049524,15.739494928470986,182.20635154982313,137.7598028858761,6.090567230902558,11.280321627325925,5.572637978946139,0.4486454890346079,3.4717813241625906,False
FL,136.6294628049156,407.97516034821126,390-3401,no,yes,39.96881398538643,176.85796471667106,86.62153513379886,28.644263706238483,201.3809075077118,106.34509499343646,19.429927112667787,125.39248991948573,81.15183231286439,6.342974402472281,12.350335746932291,16.88979699762108,3.010900275119499,0.4161268891481127,True
NH,32.00347087813392,508.17525615840265,402-3370,no,no,2.4040717090666464,129.41897721890973,85.69964621955837,22.70676476689875,281.5289027503501,98.17943535857353,23.414462059461357,316.3581203437865,78.421595090464,14.380393925039172,8.044305240359913,3.0198173194607083,-0.2449793989808482,4.235931913114195,False
MI,160.69648396920016,416.8756357917384,372-2296,no,no,4.499480391686432,87.31292550553981,71.25032636389469,15.69512327922117,169.21387085956576,111.71423515005274,12.15532058589257,180.16120387206834,93.38662534348593,12.116958316922217,4.461352762550704,4.166958195125051,1.8555296758211428,1.2852993403501962,False
OK,64.35005742742219,509.16233724236497,354-6183,no,no,3.5715741148669258,160.42381664636204,69.38683198816847,28.346675464770083,229.1592960447569,119.31708782888217,21.185189255072615,264.38325905484925,85.0217615076467,13.616229566800584,5.440092967944841,7.996979258322159,2.339231761514096,4.751312055534132,False
